Tarih;Saat;Tüketim Miktarı(MWh)
28.08.2025;00:00;43.788,46
28.08.2025;01:00;41.727,55
28.08.2025;02:00;40.191,02
28.08.2025;03:00;38.919,55
28.08.2025;04:00;38.272,76
28.08.2025;05:00;37.916,03
28.08.2025;06:00;36.959,52
28.08.2025;07:00;38.582,39
28.08.2025;08:00;44.277,73
28.08.2025;09:00;46.964,70
28.08.2025;10:00;48.160,34
28.08.2025;11:00;49.478,31
28.08.2025;12:00;48.577,23
28.08.2025;13:00;50.093,30
28.08.2025;14:00;51.290,74
28.08.2025;15:00;50.868,86
28.08.2025;16:00;51.207,20
28.08.2025;17:00;50.846,99
28.08.2025;18:00;49.700,24
28.08.2025;19:00;50.312,80
28.08.2025;20:00;50.236,20
28.08.2025;21:00;48.640,72
28.08.2025;22:00;47.024,07
28.08.2025;23:00;41.971,58
29.08.2025;00:00;20.879,36
